iter	Passed	Remaining
0	141	17924
1	142	8958
2	143	5959
3	143	4457
4	144	3554
5	145	2953
6	145	2522
7	146	2199
8	147	1947
9	147	1745
10	148	1580
11	149	1443
12	150	1327
13	150	1227
14	151	1140
15	152	1065
16	152	998
17	153	938
18	154	887
19	155	838
20	155	794
21	156	754
22	157	717
23	157	684
24	158	652
25	159	624
26	159	597
27	160	573
28	161	550
29	161	528
30	162	508
31	163	489
32	163	471
33	164	454
34	165	438
35	165	423
36	166	409
37	167	395
38	167	382
39	168	370
40	169	358
41	169	347
42	170	337
43	171	326
44	171	316
45	172	307
46	173	298
47	173	289
48	174	281
49	175	273
50	175	265
51	176	257
52	177	250
53	177	243
54	178	236
55	179	230
56	179	223
57	180	217
58	181	211
59	181	206
60	182	200
61	182	194
62	183	189
63	184	184
64	184	179
65	185	174
66	186	169
67	187	165
68	187	160
69	188	156
70	188	151
71	189	147
72	190	143
73	190	139
74	191	135
75	192	131
76	192	127
77	193	123
78	194	120
79	194	116
80	195	113
81	196	110
82	196	106
83	197	103
84	197	100
85	198	96
86	199	93
87	199	90
88	200	87
89	200	84
90	201	81
91	202	79
92	202	76
93	203	73
94	204	70
95	205	68
96	205	65
97	206	63
98	207	60
99	207	58
100	208	55
101	209	53
102	209	50
103	210	48
104	211	46
105	211	43
106	212	41
107	213	39
108	213	37
109	214	35
110	215	32
111	215	30
112	216	28
113	217	26
114	217	24
115	218	22
116	218	20
117	219	18
118	220	16
119	220	14
120	221	12
121	222	10
122	222	9
123	223	7
124	224	5
125	224	3
126	225	1
127	226	0
