iter	Passed	Remaining
0	1	1560
1	3	1815
2	5	1683
3	6	1611
4	7	1537
5	9	1498
6	10	1468
7	11	1452
8	13	1433
9	14	1433
10	15	1419
11	17	1404
12	18	1398
13	20	1415
14	21	1405
15	22	1384
16	23	1369
17	25	1363
18	26	1359
19	27	1349
20	28	1338
21	30	1367
22	32	1382
23	34	1388
24	35	1378
25	36	1365
26	37	1360
27	39	1354
28	40	1340
29	40	1324
30	41	1309
31	43	1304
32	44	1305
33	46	1308
34	47	1304
35	48	1298
36	49	1289
37	50	1282
38	51	1273
39	52	1269
40	53	1261
41	54	1252
42	56	1249
43	57	1245
44	58	1237
45	59	1228
46	60	1225
47	61	1223
48	62	1221
49	64	1218
50	65	1214
51	66	1209
52	67	1204
53	68	1198
54	69	1199
55	71	1203
56	72	1200
57	73	1195
58	74	1194
59	75	1189
60	76	1185
61	78	1180
62	79	1175
63	80	1171
64	81	1166
65	82	1161
66	83	1156
67	84	1151
68	84	1145
69	85	1139
70	86	1134
71	87	1128
72	88	1127
73	90	1126
74	91	1123
75	92	1118
76	92	1113
77	93	1108
78	94	1104
79	95	1099
80	96	1099
81	97	1095
82	98	1086
83	99	1082
84	100	1078
85	101	1074
86	101	1070
87	103	1068
88	104	1066
89	105	1065
90	106	1063
91	107	1059
92	108	1056
93	109	1053
94	110	1051
95	111	1049
96	112	1045
97	113	1042
98	114	1038
99	114	1034
100	115	1031
101	116	1027
102	117	1025
103	118	1024
104	120	1023
105	120	1020
106	121	1017
107	122	1014
108	123	1012
109	124	1009
110	125	1006
111	126	1003
112	127	1000
113	128	997
114	129	994
115	130	991
116	130	986
117	131	984
118	132	983
119	133	982
120	135	981
121	135	978
122	137	977
123	138	976
124	139	974
125	140	973
126	141	969
127	141	967
128	142	964
129	143	962
130	144	959
131	145	956
132	146	954
133	147	953
134	148	952
135	149	951
136	150	949
137	151	947
138	152	945
139	153	943
140	154	940
141	155	936
142	155	934
143	156	932
144	157	930
145	158	928
146	159	926
147	160	923
148	161	923
149	163	925
150	164	923
151	165	921
152	166	919
153	166	916
154	167	914
155	168	912
156	169	910
157	170	908
158	171	906
159	172	904
160	172	900
161	173	898
162	174	896
163	175	895
164	176	895
165	177	894
166	178	892
167	179	890
168	180	888
169	181	886
170	182	884
171	183	883
172	184	881
173	185	879
174	186	877
175	187	875
176	187	873
177	188	871
178	189	870
179	191	870
180	192	871
181	193	869
182	194	868
183	195	866
184	196	864
185	197	863
186	198	861
187	199	859
188	199	857
189	200	856
190	201	854
191	202	853
192	203	852
193	205	852
194	206	852
195	207	851
196	208	850
197	209	848
198	210	847
199	211	846
200	212	845
201	213	844
202	214	843
203	215	841
204	216	840
205	218	840
206	219	840
207	220	839
208	221	838
209	222	837
210	223	835
211	224	834
212	225	833
213	226	832
214	227	830
215	228	829
216	229	828
217	230	827
218	232	828
219	233	828
220	235	828
221	236	828
222	237	828
223	238	827
224	239	825
225	240	824
226	241	823
227	242	821
228	243	820
229	244	819
230	245	818
231	247	818
232	248	818
233	249	817
234	250	816
235	251	815
236	252	814
237	254	813
238	255	812
239	256	812
240	257	811
241	258	810
242	259	809
243	261	809
244	262	808
245	263	808
246	264	807
247	266	807
248	267	807
249	268	806
250	269	805
251	271	804
252	272	803
253	273	802
254	274	800
255	275	800
256	276	799
257	277	798
258	278	797
259	279	796
260	280	794
261	281	793
262	282	793
263	284	791
264	285	790
265	286	789
266	287	788
267	288	787
268	289	786
269	290	785
270	291	785
271	292	784
272	294	783
273	295	783
274	296	782
275	297	781
276	298	780
277	299	779
278	301	778
279	302	777
280	303	777
281	305	776
282	306	775
283	307	774
284	308	773
285	309	772
286	310	770
287	311	769
288	312	767
289	313	766
290	314	765
291	315	764
292	316	763
293	317	762
294	319	763
295	320	762
296	321	760
297	322	760
298	323	758
299	324	757
300	325	755
301	326	754
302	327	752
303	328	751
304	328	749
305	329	747
306	330	746
307	331	744
308	332	744
309	333	743
310	334	741
311	335	740
312	336	739
313	337	738
314	338	737
315	339	735
316	340	734
317	342	733
318	343	732
319	344	732
320	345	730
321	346	730
322	347	729
323	349	728
324	350	727
325	351	726
326	352	725
327	353	724
328	354	723
329	355	722
330	356	720
331	357	719
332	359	719
333	361	719
334	362	719
335	363	718
336	364	717
337	365	716
338	367	715
339	368	714
340	369	713
341	370	711
342	370	710
343	372	709
344	373	708
345	374	708
346	376	707
347	377	707
348	378	706
349	379	705
350	380	703
351	381	702
352	382	701
353	383	700
354	384	699
355	386	698
356	388	699
357	390	699
358	391	699
359	392	698
360	393	697
361	395	696
362	396	695
363	397	694
364	398	693
365	400	692
366	403	696
367	405	696
368	407	696
369	408	695
370	409	694
371	410	692
372	411	691
373	412	690
374	414	690
375	415	690
376	417	689
377	418	689
378	419	688
379	421	687
380	422	686
381	423	685
382	425	684
383	426	683
384	427	683
385	429	682
386	430	682
387	432	681
388	433	680
389	434	679
390	435	678
391	436	677
392	437	676
393	439	675
394	440	674
395	441	674
396	443	672
